"","vars","sp"
"1","Nightly.Mean.Temp,Nightly.Mean.Windsp","EPFU"
"2","Nightly.Mean.Temp,Nightly.Mean.Windsp","LACI"
"3","Nightly.Mean.Temp,Nightly.Mean.Windsp,mtime2h.mphase","LANO"
"4","Nightly.Mean.Windsp","MYCA"
"5","Nightly.Mean.Temp,Nightly.Mean.Windsp","MYCI"
"6","Nightly.Mean.Windsp","MYEV"
"7","Nightly.Mean.Temp,Nightly.Mean.Windsp","MYLU"
"8","Nightly.Mean.Temp,Nightly.Mean.RH,Nightly.Mean.Windsp","MYVO"
"9","Nightly.Mean.Temp,Nightly.Mean.Windsp","MYYU"
